season,tpCO2max,tpCO2min,WT_ave,PAR_ave,sunrise,sunset,pCO2_maxmin,WT_maxmin,sunsetsunrise,sunrise2
4Summer,6.5,13.5,26.00234604,692.1438894,4.5,19,2385.778153,1.768763027,14.5,09_4:30-5:00
4Summer,4.5,10.5,27.71355232,612.8224085,5,19,3557.822674,3.537526054,14,10_5:00-5:30
4Summer,6,13,24.99787016,267.665575,5,19,3469.2478,1.560673259,14,10_5:00-5:30
4Summer,5.5,17,26.08600624,543.265075,5,19.5,2325.420121,2.913256751,14.5,10_5:00-5:30
4Summer,6,12.5,26.5368674,457.6622,5,19.5,2786.990205,2.705166983,14.5,10_5:00-5:30
4Summer,4.5,12.5,26.72111355,363.707825,5,19,2712.172411,1.872807911,14,10_5:00-5:30
4Summer,5,13,28.53322862,446.80525,5,19.5,2976.901812,2.705166983,14.5,10_5:00-5:30
4Summer,6,13,28.42701613,383.33385,5.5,19.5,3474.275598,2.184942563,14,11_5:30-6:00
4Summer,4.5,13,29.7535884,319.0273,5.5,19.5,2090.017039,3.121346519,14,11_5:30-6:00
4Summer,23,0,27.98049017,336.147875,5,19,2337.272795,1.976852795,14,10_5:00-5:30
4Summer,3.5,16,28.32083333,161.601525,5,19,1049.540961,0.7,14,10_5:00-5:30
4Summer,7,12.5,29.56666667,239.270475,5.5,19,943.1010598,2.3,13.5,11_5:30-6:00
4Summer,5,8.5,28.69166667,215.051125,5,19,1178.185334,1.7,14,10_5:00-5:30
4Summer,6,12,28.87916667,342.4115,5,19,721.6352639,1.7,14,10_5:00-5:30
4Summer,5,11.5,30.3,666.867275,5,19,1159.962286,2.9,14,10_5:00-5:30
4Summer,8.5,13.5,32.06041667,587.528025,5,19,1160.660167,3.1,14,10_5:00-5:30
4Summer,20,16.5,32.33958333,484.387,5,19,918.3037897,2.9,14,10_5:00-5:30
4Summer,3.5,13.5,31.49166667,517.793,5,18.5,1928.204695,2.4,13.5,10_5:00-5:30
4Summer,5.5,9.5,31.69166667,696.932675,5,18.5,2059.969073,2.8,13.5,10_5:00-5:30
4Summer,6.5,12.5,31.7125,704.8666,5,19.5,1871.146049,2.6,14.5,10_5:00-5:30
4Summer,5.5,11.5,32.2125,603.395875,5,19.5,1628.374802,2.7,14.5,10_5:00-5:30
4Summer,7.5,13,32.20625,563.72625,5.5,19.5,1390.54995,2,14,11_5:30-6:00
4Summer,6,10,32.72083333,631.3734,5,19,1619.148358,3.5,14,10_5:00-5:30
4Summer,6,10.5,33.23125,658.515775,5,19.5,1507.906049,3.1,14.5,10_5:00-5:30
4Summer,8.5,12.5,33.51875,644.7358,5.5,19,1498.332779,2.5,13.5,11_5:30-6:00
4Summer,7.5,12.5,33.84583333,662.27395,5,19,1854.67968,2.6,14,10_5:00-5:30
4Summer,23,15.5,32.8375,222.567475,5.5,19,1815.892164,1.4,13.5,11_5:30-6:00
4Summer,6,16,32.30208333,443.882225,5.5,19,4030.301036,1.7,13.5,11_5:30-6:00
4Summer,5,17.5,32.54375,521.96875,5.5,19,2537.405959,2.7,13.5,11_5:30-6:00
4Summer,9,15,31.95208333,442.211925,5.5,19,3643.487337,1.1,13.5,11_5:30-6:00
4Summer,7,13,32.87708333,652.669725,5.5,19,6729.125792,3.2,13.5,11_5:30-6:00
4Summer,5,17.5,33.03541667,411.72895,5.5,19,2613.436624,3.4,13.5,11_5:30-6:00
4Summer,14.5,12.5,31.375,325.7085,6,19,4058.511042,2.3,13,12_6:00-6:30
4Summer,5,15.5,30.91875,551.616575,5.5,18.5,2941.907028,2.9,13,11_5:30-6:00
4Summer,5,16.5,32.15,617.593425,5,19,3240.379863,3.4,14,10_5:00-5:30
4Summer,5.5,15.5,32.72083333,614.6704,5,18.5,2537.512206,3.1,13.5,10_5:00-5:30
4Summer,5.5,13,32.10208333,491.0682,5,18.5,2894.859371,1.7,13.5,10_5:00-5:30
4Summer,5.5,13,32.27291667,619.263725,5.5,18.5,5024.145515,2.8,13,11_5:30-6:00
4Summer,5.5,12.5,32.6,631.3734,5.5,19,4070.439137,2.9,13.5,11_5:30-6:00
