season,pCO2_maxmin,value,variable
4Summer,4070.439137,631.3734,PAR_ave
1Autumn,1734.251654,12.5,suntime
1Autumn,2335.38655,12.5,suntime
1Autumn,480.663366,12.5,suntime
1Autumn,664.3946701,12.5,suntime
1Autumn,1671.840738,12.5,suntime
1Autumn,1981.171709,11.5,suntime
1Autumn,2494.915558,12,suntime
1Autumn,1533.052212,12,suntime
1Autumn,1500.900227,12,suntime
1Autumn,1966.407948,12,suntime
1Autumn,1663.573943,12,suntime
1Autumn,1940.052897,11.5,suntime
1Autumn,1702.70642,11.5,suntime
1Autumn,896.6069696,11,suntime
1Autumn,1365.363733,11.5,suntime
1Autumn,1103.764734,11.5,suntime
1Autumn,699.3496609,10.5,suntime
1Autumn,1085.334975,11.5,suntime
1Autumn,996.4859843,10.5,suntime
1Autumn,862.4542264,10,suntime
1Autumn,1205.990864,10.5,suntime
1Autumn,1149.610078,10.5,suntime
1Autumn,984.6928982,10.5,suntime
1Autumn,1152.105676,10.5,suntime
1Autumn,1295.817316,10.5,suntime
1Autumn,1123.694518,10,suntime
2Winter,1153.605202,9.5,suntime
2Winter,1175.603518,10,suntime
2Winter,887.2088897,10,suntime
2Winter,804.5439453,9.5,suntime
2Winter,1070.319856,10,suntime
2Winter,1300.606847,9.5,suntime
2Winter,1066.639012,10,suntime
2Winter,983.3507779,10.5,suntime
2Winter,1081.614748,9.5,suntime
2Winter,1053.706069,10.5,suntime
2Winter,939.5771242,10.5,suntime
2Winter,1038.011901,10,suntime
2Winter,989.5942251,10.5,suntime
2Winter,441.9360536,10,suntime
2Winter,1701.08533,10,suntime
2Winter,501.0544404,10,suntime
2Winter,554.9765394,10,suntime
2Winter,579.6887975,10,suntime
2Winter,553.1865254,10.5,suntime
2Winter,335.5148547,10.5,suntime
2Winter,839.9282468,10.5,suntime
2Winter,707.0424974,11,suntime
2Winter,496.8068126,10,suntime
2Winter,794.148452,11,suntime
2Winter,1459.000462,11,suntime
2Winter,2413.62216,11.5,suntime
2Winter,2174.015078,11.5,suntime
3Spring,5065.605715,11,suntime
3Spring,2733.343034,12,suntime
3Spring,2826.56426,12,suntime
3Spring,2641.385615,12,suntime
3Spring,3305.841344,12,suntime
3Spring,3733.967209,12.5,suntime
3Spring,3731.760912,12.5,suntime
3Spring,2905.015136,12.5,suntime
3Spring,1867.491458,13,suntime
3Spring,1084.845553,13,suntime
3Spring,1515.025114,13,suntime
3Spring,1969.962493,13,suntime
3Spring,1899.706687,13.5,suntime
3Spring,1475.962653,13.5,suntime
3Spring,1418.366504,13.5,suntime
3Spring,376.0049874,14,suntime
3Spring,1022.684455,13,suntime
3Spring,861.391573,13.5,suntime
3Spring,1053.321089,13.5,suntime
3Spring,2596.790674,14,suntime
3Spring,1294.646676,14,suntime
4Summer,1592.559889,12.5,suntime
4Summer,5761.834045,14,suntime
4Summer,2781.792874,14.5,suntime
4Summer,2385.491277,14.5,suntime
4Summer,2909.243042,14,suntime
4Summer,3499.618512,14,suntime
4Summer,1593.118118,14,suntime
4Summer,1948.87932,14.5,suntime
4Summer,2385.778153,14.5,suntime
4Summer,3557.822674,14,suntime
4Summer,3469.2478,14,suntime
4Summer,2325.420121,14.5,suntime
4Summer,2786.990205,14.5,suntime
4Summer,2712.172411,14,suntime
4Summer,2976.901812,14.5,suntime
4Summer,3474.275598,14,suntime
4Summer,2090.017039,14,suntime
4Summer,2337.272795,14,suntime
4Summer,1049.540961,14,suntime
4Summer,943.1010598,13.5,suntime
4Summer,1178.185334,14,suntime
4Summer,721.6352639,14,suntime
4Summer,1159.962286,14,suntime
4Summer,1160.660167,14,suntime
4Summer,918.3037897,14,suntime
4Summer,1928.204695,13.5,suntime
4Summer,2059.969073,13.5,suntime
4Summer,1871.146049,14.5,suntime
4Summer,1628.374802,14.5,suntime
4Summer,1390.54995,14,suntime
4Summer,1619.148358,14,suntime
4Summer,1507.906049,14.5,suntime
4Summer,1498.332779,13.5,suntime
4Summer,1854.67968,14,suntime
4Summer,1815.892164,13.5,suntime
4Summer,4030.301036,13.5,suntime
4Summer,2537.405959,13.5,suntime
4Summer,3643.487337,13.5,suntime
4Summer,6729.125792,13.5,suntime
4Summer,2613.436624,13.5,suntime
4Summer,4058.511042,13,suntime
4Summer,2941.907028,13,suntime
4Summer,3240.379863,14,suntime
4Summer,2537.512206,13.5,suntime
4Summer,2894.859371,13.5,suntime
4Summer,5024.145515,13,suntime
4Summer,4070.439137,13.5,suntime
