ymd,rain,WL,snapshot,continuous
2023/1/10,0,1.475,2,
2023/1/11,0,1.472,2,
2023/1/12,0.5,1.471,,1
2023/1/13,15,1.474,,1
2023/1/14,5.5,1.499,,1
2023/1/15,0,1.513,,
2023/1/16,0,1.511,2,
2023/1/17,0,1.504,2,
2023/1/18,0,1.5,,1
2023/1/19,0,1.499,2,1
2023/1/20,0,1.496,,
2023/1/21,0,1.494,2,
2023/1/22,0,1.494,2,
2023/1/23,2,1.495,2,
2023/1/24,0,1.495,2,
2023/1/25,2,1.5,2,
2023/1/26,1.5,1.494,,1
2023/1/27,1,1.497,,1
2023/1/28,3.5,1.51,2,1
2023/1/29,0,1.498,2,1
2023/1/30,0,1.498,,1
2023/1/31,0,1.501,2,
2023/2/1,0,1.496,,1
2023/2/2,0,1.497,,1
2023/2/3,0,1.496,,1
2023/2/4,0,1.495,,1
2023/2/5,0,1.491,2,1
2023/2/6,0.5,1.488,,1
2023/2/7,2.5,1.49,2,
2023/2/8,0,1.494,2,
2023/2/9,0,1.49,,1
2023/2/10,18.5,1.49,,1
2023/2/11,0,1.53,2,1
2023/2/12,0,1.526,2,1
2023/2/13,4,1.526,,1
2023/2/14,0,1.526,2,1
2023/2/15,0.5,1.522,,1
2023/2/16,0,1.518,2,
2023/2/17,0,1.509,2,
2023/2/18,1,1.515,,1
2023/2/19,8,1.513,,1
2023/2/20,0,1.523,,
2023/2/21,0,1.518,2,
2023/2/22,0,1.509,2,1
2023/2/23,0.5,1.511,,1
2023/2/24,1,1.513,2,
2023/2/25,0,1.513,2,
2023/2/26,0.5,1.507,,1
2023/2/27,0,1.506,,1
2023/2/28,0,1.507,2,1
2023/3/1,1.5,1.504,,1
2023/3/2,1,1.511,,1
2023/3/3,0,1.506,,1
2023/3/4,0,1.495,,1
2023/3/5,0,1.498,2,
2023/3/6,0,1.492,2,
2023/3/7,0,1.481,2,
2023/3/8,0,1.48,2,
2023/3/9,0,1.477,,1
2023/3/10,0,1.473,,1
2023/3/11,0,1.476,,1
2023/3/12,0,1.477,,1
2023/3/13,6,1.482,,1
2023/3/14,0,1.472,2,
2023/3/15,0,1.472,,
2023/3/16,0,1.469,2,
2023/3/17,0.5,1.469,,1
2023/3/18,17.5,1.464,,1
2023/3/19,0,1.49,,1
2023/3/20,0,1.485,,1
2023/3/21,5,1.481,,1
2023/3/22,0,1.486,2,
2023/3/23,30,1.48,2,1
2023/3/24,0,1.548,,1
2023/3/25,2.5,1.539,2,1
2023/3/26,16,1.527,2,1
2023/3/27,0.5,1.555,2,1
2023/3/28,0,1.541,2,1
2023/3/29,0,1.531,,1
2023/3/30,0,1.52,2,
2023/3/31,0,1.514,,
2023/4/1,0,1.512,,1
2023/4/2,0,1.508,2,1
2023/4/3,0,1.504,,1
2023/4/4,0,1.501,2,
2023/4/5,11,1.495,,1
2023/4/6,1,1.504,,1
2023/4/7,39.5,1.503,2,1
2023/4/8,0.5,1.603,2,1
2023/4/9,0,1.562,2,1
2023/4/10,0,1.554,,1
2023/4/11,0,1.553,2,
2023/4/12,1,1.553,2,
2023/4/13,0,1.544,,1
2023/4/14,7,1.541,,1
2023/4/15,30.5,1.543,2,1
2023/4/16,0.5,1.596,,1
2023/4/17,0,1.563,,1
2023/4/18,1.5,1.55,2,1
2023/4/19,5,1.537,,1
2023/4/20,0,1.537,2,
2023/4/21,0,1.526,,1
2023/4/22,0,1.513,,1
2023/4/23,0,1.507,2,1
2023/4/24,0,1.49,,1
2023/4/25,13,1.492,2,
2023/4/26,40.5,1.504,2,
2023/4/27,0,1.604,,1
2023/4/28,0,1.56,,1
2023/4/29,13,1.537,2,
2023/4/30,10.5,1.542,2,
2023/5/1,0,1.559,2,
2023/5/2,0,1.542,2,
2023/5/3,0,1.526,,1
2023/5/4,0,1.518,,1
2023/5/5,0,1.504,,1
2023/5/6,9.5,1.497,,1
2023/5/7,83.5,1.505,2,
2023/5/8,3,1.781,2,
2023/5/9,0,1.674,2,
2023/5/10,0,1.592,2,
2023/5/11,0,1.551,,1
2023/5/12,0,1.528,,1
2023/5/13,12,1.514,2,1
2023/5/14,10.5,1.527,2,1
2023/5/15,0,1.538,,1
2023/5/16,0,1.525,2,
2023/5/17,0,1.515,,1
2023/5/18,4,1.507,,1
2023/5/19,42,1.513,2,
2023/5/20,0,1.618,,1
2023/5/21,0,1.575,,1
2023/5/22,11.5,1.547,2,
2023/5/23,0,1.553,2,
2023/5/24,0,1.531,2,1
2023/5/25,0,1.516,,1
2023/5/26,0,1.507,,1
2023/5/27,0,1.501,2,1
2023/5/28,0,1.486,,1
2023/5/29,35,1.46,2,1
2023/5/30,17,1.513,,1
2023/5/31,0.5,1.565,2,
2023/6/1,19,1.532,,1
2023/6/2,65,1.533,2,1
2023/6/3,0,1.738,2,1
2023/6/4,0,1.61,2,1
2023/6/5,0,1.535,,1
2023/6/6,3,1.506,2,
2023/6/7,0,1.497,2,
2023/6/8,30.5,1.472,,1
2023/6/9,5,1.517,2,1
2023/6/10,0,1.537,,1
2023/6/11,7.5,1.498,2,
2023/6/12,5.5,1.488,2,1
2023/6/13,0,1.474,,1
2023/6/14,9.5,1.454,2,1
2023/6/15,0,1.471,,1
2023/6/16,0,1.435,2,1
2023/6/17,0,1.422,2,1
2023/6/18,0,1.396,,1
2023/6/19,0,1.369,2,
2023/6/20,0,1.329,2,
2023/6/21,0,1.302,2,
2023/6/22,15.5,1.295,,1
2023/6/23,0,1.315,2,1
2023/6/24,0,1.292,2,1
2023/6/25,0,1.279,,1
2023/6/26,1.5,1.28,,1
2023/6/27,0.5,1.289,2,1
2023/6/28,3,1.3,2,1
2023/6/29,1,1.309,,1
2023/6/30,8.5,1.31,,1
2023/7/1,17,1.341,,1
2023/7/2,0,1.4,2,
2023/7/3,0,1.409,,1
2023/7/4,0,1.401,2,1
2023/7/5,48,1.392,2,1
2023/7/6,0,1.562,,1
2023/7/7,5.5,1.562,2,
2023/7/8,2.5,1.544,,1
2023/7/9,33,1.534,,1
2023/7/10,0.5,1.591,,1
2023/7/11,0,1.559,2,
2023/7/12,1.5,1.536,,1
2023/7/13,7,1.516,2,1
2023/7/14,0,1.523,,1
2023/7/15,0,1.515,2,1
2023/7/16,0,1.509,,1
2023/7/17,0,1.494,2,1
2023/7/18,0,1.489,2,1
2023/7/19,6,1.486,2,1
2023/7/20,0,1.494,,1
2023/7/21,0,1.492,,1
2023/7/22,0,1.476,2,1
2023/7/23,0,1.474,,1
2023/7/24,0,1.472,,1
2023/7/25,0.5,1.48,2,1
2023/7/26,0,1.477,2,1
2023/7/27,0,1.473,,1
2023/7/28,0,1.479,2,
2023/7/29,0,1.478,2,
2023/7/30,0,1.479,2,
2023/7/31,0,1.48,2,
2023/8/1,0,1.48,2,
2023/8/2,0,1.478,2,1
2023/8/3,0,1.474,2,1
2023/8/4,0,1.477,,1
2023/8/5,0,1.475,,1
2023/8/6,13,1.477,,1
2023/8/7,0.5,1.499,2,1
2023/8/8,1,1.49,2,1
2023/8/9,1,1.492,2,1
2023/8/10,0,1.491,2,1
2023/8/11,0,1.484,,1
2023/8/12,0,1.48,,1
2023/8/13,0,1.477,,1
2023/8/14,0.5,1.477,,1
2023/8/15,86,1.466,2,
2023/8/16,0,1.62,,1
2023/8/17,4,1.537,,1
2023/8/18,0.5,1.511,,1
2023/8/19,0,1.5,2,1
2023/8/20,0,1.493,2,1
2023/8/21,4,1.489,,1
2023/8/22,8.5,1.488,2,
2023/8/23,47.5,1.498,2,
2023/8/24,5,1.586,,1
2023/8/25,0,1.559,,1
2023/8/26,0,1.52,,1
2023/8/27,0,1.499,2,1
2023/8/28,0,1.491,,1
2023/8/29,0,1.481,2,
2023/8/30,0,1.471,2,
2023/8/31,23,1.475,2,
